19#(00:16:59): 老师好。我做的是橙光游戏。
T1(00:22:25): 你要设计情节，这种单向的不可逆的这种情节的起承转合各是什么，然后这些东西都有了，就总的框架有了之后，哪怕你是用橙光做的，我也会给你一个很高的分数，因为这个是创作的一个怎么说，比较符合逻辑的一个逻辑，但是你现在反而变成了在给 AI 打工就是 AI 有可能。

T1(00:22:51): 捏造了一个没有因果，没有逻辑的，一些文字，你负责把这个文字放到了橙光里，那这样的话。它对于你的发展是不利的，对，不管是创作上的还是技术上的可能都不太好。

T1(00:23:16): 对。

19#(00:23:17): 其实我有，因为我去调查过秦那个铜奔马它出土，还有就是的具体的一个情况，就是它起，就是它出土的那个现场，它不仅是只有它一匹铜奔马，在后面有一个非常浩大的青铜马组成的队列，然后它也不只是一匹普通的小马，它是这个墓主人的一个精神图腾，因为墓主人他是一个将军。

19#(00:23:46): 我就想要通过这样一个游戏去复现。他作为一匹神马，他是怎么在群马中间奔腾的这么一个场景，因为后面有一段剧情，就是他在草原上找到了自己的同伴，然后他加入了其中，然后跟他们一起在草原上面奔跑。

T1(00:24:07): OK 所以这个剧本其实是你有再创作一遍，它不完全是豆包生成的，对吗？

19#(00:24:17): 对，就是它在草原这部分，然后它就加入了自己的同伴，然后它又跑到了最前面，就是。

T1(00:24:28): 那你老实告诉我，这个实际上是，比如说即梦，或者是这种AI出视频的软件出来了，然后你觉得它有这个寓意，然后你这样解释，还是你的提示词里面……

19#(00:24:32): 不是的，视频每一帧的具体画面都是我自己生成的。

T1(00:24:45): 我能看一下你的提示词吗？我通过你的提示词就能够看出你的创作理念是怎样的。

19#(00:24:45): 对。

T1(00:24:53): 或者我看你是根据帧生成的对吗？好，我看一下你用来生成刚刚那匹马跑在最前面的那一个帧。

T1(00:25:25): 用首尾帧还是只用首帧，然后加提示词？

19#(00:25:30): 用首尾帧，就是我先把这个放在前面，然后再放下这匹黑马，然后就是提示词描述，就是这个黑马从后面跑过来，超过了它们，然后就生成了。

T1(00:25:42): 我看一看生成的效果。

T1(00:25:51): 他好像没有超过所有的马，而是在最后跑，我想想有一点点难度。我给你一个机会，你现在重新整理一下你的这个作品，他的想要表达的主题，你能概括出来吗？

19#(00:26:15): 想要表达的主题，我就是想体现一下铜奔马，因为因为大家提到铜奔马以后就会。就会想到他的正面非常搞笑，我想展现一下他自由的形态还有意志。

T1(00:26:31): OK 这个主题是 make sense 的，然后你想要用的人物弧光的转变，或者说用的手法。你像你刚刚讲这个马，它非常搞笑，然后人们都对它不理解，其实在游戏最开始的时候，如果能加上，比如说游客看到这个非常喜感的马，然后说一些非常轻视他的话，把这个加进去的话会更好，那它就符合创作的这个理念了，就是你是有目的加入一些 NPC 或者加入一些情节。

19#(00:27:11): 谢谢老师！

T1(00:27:12): 我觉得你是有一个理念，你没有把它抓出来。

T1(00:27:21): 这个相对来说会弱一点，就你现在的作品相对来说会弱一点，就他让人看完之后内心毫无波澜。对感觉是你刚刚说的一匹马出去溜了一圈又回来了，但是我觉得你深挖的话，想表达的东西肯定不止如此。

T1(00:27:38): 所以我建议你找一找初心，就是你为什么要做这个作品以及铜奔马或者黄铜马，就是你觉得他们到底有什么特质，让你特别想做这个题材，然后你好好在，就不要特别依赖 AI，你可以用 AI 来当你的助手，比如说为你出图为你出视频，这些都 OK 但是最顶层的创作逻辑你得自己把握住。我就这一个建议。

19#(00:28:08): 谢谢老师！

T1(00:28:08): 未来，你也是跟刚刚的同学一样，是本科的时候学过代码，但是没学会是这种情况吗？还是本科的专业，就是跟编程无关？

19#(00:28:11): 对。对。我是数字媒体艺术的学过一点点。

T1(00:28:23): 那你们是一个专业，你们现在的方向也一样，也是做传统文化这方面。

19#(00:28:25): 对。对。

T1(00:28:29): 对。

T1(00:28:30): 我了解那，其实你们的作品都能得到一个中等偏上的分数，但不会特别拔尖。

T1(00:28:42): 但也不用太担心对。没事，那就先这样有什么问题吗？

19#(00:28:55): 我觉得您提的意见都非常中肯，我收获了很多，谢谢！

T1(00:29:00): 那你加油对就是 AI 出来之后绝对不是让它指挥你的对你必须要有自己的创作理念，然后你反过来指挥 AI 来完成你的这个理念。这是我给你的建议。

19#(00:29:02): 为什么。

T1(00:29:15): 那就先这样了！

T1(00:29:21): 再见加油！
